,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,overfit_factor
1523,0.20327281951904297,0.008752158067358285,0.007532787322998047,0.0008913965241498663,7,12,90,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 90}",0.6671012603215993,0.6375488917861798,0.6755083996463307,0.6458885941644563,0.7104332449160036,0.6672960781669139,0.025579174349843744,1394,0.9999449763398262,0.9999174645097392,1.0,1.0,1.0,0.999972488169913,3.48000182697084e-05,1.4985439310790991
1524,0.2275923252105713,0.006640790944543866,0.009179782867431641,0.0014025050552954152,7,12,100,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 100}",0.6366797044763146,0.6184267709691439,0.6688770999115826,0.6534040671971707,0.73342175066313,0.6621618786434684,0.039400161577935446,2056,1.0,0.9999174645097393,0.9999726057418366,0.999835634451019,1.0,0.9999451409405189,6.249960670118851e-05,1.5101218798476392
1525,0.25273642539978025,0.007879180319717327,0.010405206680297851,0.0005785883327416613,7,12,110,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 110}",0.6749239461103869,0.5980008691873099,0.638815207780725,0.6467727674624226,0.715738284703802,0.6548502150489293,0.03915233440683328,2823,1.0,0.9997248816991307,1.0,0.9999178172255095,0.9999178172255095,0.99991210323003,0.00010056727645043809,1.5269325415970403
1526,0.2738943576812744,0.004204006526782469,0.011011457443237305,0.0019375381675477204,7,12,120,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 120}",0.6910039113428943,0.6188613646240766,0.6662245800176836,0.6644562334217508,0.7108753315649867,0.6702842841942784,0.030892394231463553,1018,1.0,1.0,1.0,1.0,0.999945211483673,0.9999890422967346,2.1915406530803595e-05,1.4918879434847274
1527,0.2991966247558594,0.010354878986315047,0.011987638473510743,0.0014227530885015725,7,12,130,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 130}",0.7218600608431118,0.6058235549760974,0.6768346595932803,0.6392572944297082,0.7458001768346596,0.6779151493353716,0.05144380893218236,320,1.0,0.9999174645097392,0.9999726057418366,0.999945211483673,0.999945211483673,0.9999560986437844,2.8033801696094585e-05,1.4750461021916121
1528,0.31615538597106935,0.00691864763833953,0.011789608001708984,0.0012311892154803724,7,12,140,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 140}",0.6731855714906562,0.6258148631029987,0.6847922192749778,0.6286472148541115,0.7303271441202476,0.6685534025685984,0.03878205222984545,1229,1.0,0.9997799053593045,0.9999726057418366,1.0,1.0,0.9999505022202282,8.595573887940717e-05,1.4956927874099422
1529,0.33251662254333497,0.006293626270986206,0.012042760848999023,0.0025038061258640205,7,12,150,"{'max_depth': 7, 'max_features': 12, 'n_estimators': 150}",0.6657974793568014,0.6301607996523251,0.6494252873563219,0.6657824933687002,0.737842617152962,0.669801735377422,0.03646464968847011,1073,1.0,0.9998349290194785,0.9999452114836731,1.0,0.9995616918693842,0.9998683664745072,0.00016475879480453388,1.492782585746957
1530,0.023058414459228516,0.001445377975716859,0.0017346382141113282,0.0002636770051577413,7,13,10,"{'max_depth': 7, 'max_features': 13, 'n_estimators': 10}",0.6657974793568013,0.6023468057366362,0.6750663129973474,0.5831122900088417,0.7170645446507515,0.6486774865500756,0.04921703163084753,3274,0.994662704963134,0.9916639154836578,0.9907133464825773,0.9915625684856454,0.9901928555774709,0.991759078198497,0.001550827425483007,1.5288939399963848
1531,0.04748148918151855,0.0021294419659800166,0.0024634838104248048,0.0003477436643846334,7,13,20,"{'max_depth': 7, 'max_features': 13, 'n_estimators': 20}",0.6053889613211646,0.5684485006518905,0.6693191865605659,0.6781609195402298,0.6989389920424404,0.6440513120232583,0.04904110658529106,3543,0.9984043138549576,0.995625619016177,0.9987946526408066,0.9979728248959019,0.9991507779969317,0.997989637680955,0.001245561653666093,1.5495498868650937
1532,0.06884765625,0.0034587160266739228,0.00338129997253418,0.0005189276063844342,7,13,30,"{'max_depth': 7, 'max_features': 13, 'n_estimators': 30}",0.6701434159061277,0.6345067362016514,0.6198054818744474,0.6644562334217506,0.7572944297082228,0.66924125942244,0.0478068078053231,1138,0.9997523935292176,0.9998899526796522,0.9995069033530573,0.9980002191540653,0.9992603550295858,0.9992819647491157,0.0006760012850251963,1.4931565420988886
